Client Name,Code,Loaded on 
186 Media,04214626,2019-03-25
"1860 Grill, LLC",77716081,2024-06-27
"777 Partners, LLC ",82370719,2024-07-18
"A.R. Marani, Inc.",264A1792,2020-09-25
"AB Contracting, Inc.",788A6364,2022-07-26
"Abarca Health FL, LLC",373A1869,2023-10-03
"Abrams Development Group, Inc.",994A8482,2018-09-27
"Accurate Controls, Inc",341A7773,2023-09-18
Acento Real Estate Partners,493A9229,2023-01-19
Achieve Behavioral Health Services LLC,666A7498,2024-03-23
ACME Mechanical Contractors of Virginia,857A3321,2022-06-16
"Acumen Solutions, Inc.",172A2516,2019-12-11
Ad Hoc LLC,160A3480,2019-12-03
"Adam G. Tattelbaum, MD PC",083A0499,2019-05-03
"Adams Communication & Engineering Technology, Inc.",247A3991,2020-10-22
"Adams Diversified Equity Fund, Inc.",005A4765,2023-01-19
Advanced Asthma & Allergy Centers,975A9175,2018-10-02
Affiliated Santé Group,863A4839,2018-07-03
Afognak Native Corporation,397A6941,2024-08-02
"Agra Industries, Inc.",340A2020,2023-07-17
AHC Inc.,267A9051,2023-03-07
Airoldi Brothers Inc.,245A5485,2023-10-23
AirPro Fan and Blower Company,244A9732,2023-08-03
"Aledade, Inc.",343A6279,2021-05-05
Alexandria Lake Ridge Pediatrics,272A7816,2020-08-12
"Allure Healthcare Services, LLC",234A2202,2023-10-24
"Allure of Mt Carrol, LLC",453A2109,2023-11-07
"Allure of Prophetstown, LLC",454A7862,2023-11-07
"Allure of Sterling, LLC",455A3615,2023-11-07
Alpha Home A Waters Community,542A4126,2023-11-02
"American Association of Zoological Parks & Aquariums, Inc.",178A7034,2020-02-07
American Civil Liberties Union Foundation of Maryland,450A1850,2021-09-22
"American Surgical Assistants, Inc.",275A5075,2020-08-25
American Waterways dba Portland Spirit,121A9113,2019-10-04
"Amerilux International, LLC",243A3979,2023-09-20
Amida Technology Solutions,241A9473,2020-07-14
"Analytica, LLC",391A5423,2023-08-24
Anchor Construction Corporation,900A7700,2020-07-17
Anfield Interiors Inc.,973A0669,2022-10-14
Annexus Health,743A0479,2024-05-13
AnovoRx,847A8791,2024-07-26
"Apertus Solutions, LLC",874A8122,2019-03-18
"Apogee Research, LLC",725A3925,2022-03-23
"Applied Laser Technologies, LLC",339A6267,2023-08-02
Arcadia Care Management LLC,314A2442,2023-10-12
Argo Systems LLC,168A9504,2020-01-24
"Arlington Properties, Inc.",223A5919,2020-06-12
"Arundel Gas & Water Conditioning Company, Inc.",987A8211,2018-09-17
Asbury Management LLC,394A2682,2024-03-25
Association for Career and Technical Education,906A5218,2022-09-21
Association for the Advancement of Medical Instrumentation,411A7483,2021-05-21
Atellis Inc. dba B-Line Medical,060A8180,2019-01-31
ATHENA Consulting LLC,337A4761,2023-06-28
Atlas Roofing Corporation,187A1811,2023-12-13
Atlas Roofing Corporation,186A6058,2023-12-14
Atlas Roofing Corporation (Daingerfield Union),183A8799,2023-11-14
Atlas Roofing Corporation (Hampton Union),185A0305,2023-11-14
"AttainX, Inc.",745A8985,2022-02-14
"Avery Hall Insurance Agency, Inc.",824A0472,2019-02-08
"Axle Informatics, LLC",012A2036,2018-11-12
"B & B Leasing Co., Inc.",948B6844,2022-09-23
Baltimore Lab School,151B1703,2019-11-25
Baltimore Ravens Limited Partnership,044B3132,2021-02-10
Baltimore Ravens Limited Partnership - Interns,088B2264,2023-01-16
Baltimore Tank Lines (Non-Union),036B0108,2018-12-12
Baltimore Tank Lines (Union- Drivers),037B5861,2018-12-12
"Banc of California, Inc.",661B2733,2021-06-16
"Banner & Witcoff, LTD.",262B7286,2018-06-20
"Barry J. Cohen, M.D., P.C.",090B0770,2019-05-13
Bearing Construction Inc.,236B0708,2020-08-18
"Belfint, Lyons & Shuman, P.A.",940B7820,2018-03-23
"Belsono Management Group, LLC",177B1281,2019-12-23
"Beltway International, LLC",246B8238,2020-09-22
"Bennett C Yang, MD PC",087B3511,2019-05-09
"Best Plumbing Specialties, Inc.",112B7336,2019-08-30
"BevSource, LLC",164B9492,2023-10-18
"Bimax, Inc. Health & Welfare Plan",003B0259,2018-09-20
"Blend360, LLC",299B3147,2022-03-16
Blue Harbor Benefits,957B5621,2018-04-30
Blue Ocean Two,175B9775,2020-01-31
Blue Sage Solutions,499B3747,2021-12-14
"Bomberger's Store, Inc.",327B4231,2021-01-28
"Bottom Line Systems, LLC DBA Revecore",709B4877,2024-08-14
Bourne's of Morrisville Inc,116B3348,2023-02-28
Brick Bodies & Planet Fitness Growth Partners,298B4394,2020-12-22
"Broad Reach, Inc. ",061B6933,2023-01-10
"Brody Transportation Co., Inc.",386B3658,2021-04-23
"Bry's Lawn Care and Landscaping, LLC",969B4657,2018-07-27
Buch Construction,094B6782,2023-02-23
"Bulman Enterprises, Inc. DBA The Original Pancake House",418B0754,2023-11-20
Burlington Financial Group,045B1885,2019-02-13
"Burton Industries, Inc.",412B6236,2023-09-07
"C.W. Strittmatter, Inc.",540C9620,2021-11-09
"Cadwell Industries, Inc.",041C1873,2023-05-18
"Cal Ripken, Sr. Foundation, Inc.",313C6689,2023-10-10
"CALIBRE Systems, Inc.",433C4049,2021-07-14
Calvert School,001C8753,2018-10-05
Calvert Systems,308C1924,2017-11-27
"Canfield Scientific, Inc.",171C6763,2019-12-23
Capitol Advisors on Technology LLC,542C1126,2022-01-17
Capitol Power Group LLC,056C5168,2019-02-01
"CARDONE Industries, Inc.",092C2276,2019-06-11
Carl Warren & Company,062C9686,2020-03-18
"Carl’s Door Service, Inc.",960C5880,2022-09-21
"Caroline Center, Inc",991C1223,2018-09-12
"Carrol Independent Fuel, LLC",102C2806,2023-03-29
"Carroll Tree Service, Inc.",552C8656,2021-11-04
"Cash Depot, LTD.",242C8226,2023-09-20
CBP Benefits,705C5865,2021-01-22
"Celerity Government Solutions, LLC DBA Xcelerate Solutions",070C5710,2019-03-20
Cementworks LLC d/b/a The Bloc,799C9647,2022-04-07
"Centennial Medical Group, P.A.",602C9306,2023-11-02
Center for Strategic & International Studies,340C9020,2021-02-10
"Central WI Flex, Inc.",377C4881,2023-08-09
Certainty of Uncertainty LLC,073C5969,2023-06-28
"CFM Project Consulting Group, Inc.",617C2601,2021-11-23
"Challenger Auto & Truck Service, LLC",658C5474,2019-07-22
"Charter Contracting Company, LLC",642C3426,2023-03-28
Chatham Financial Corp. ,096C5288,2019-06-10
"Cherry Optical, Inc.",316C3948,2023-08-02
Chesapeake Contracting Group,624C5872,2024-06-11
"Choisys Technology, Inc.",123C0619,2019-08-12
Cigars on Walnut,628C5884,2022-02-25
Citadel Federal Credit Union,107C5571,2019-02-21
"Citadel Security Group, LLC",779C7587,2024-06-20
"Coakley & Williams Construction, Inc.",944C0832,2018-09-27
"Cognitive Professional Services, Inc",032C7096,2018-12-04
"CoLinx, LLC",872C6616,2020-08-12
"Columbia Benefit Solutions, Inc.",120C3360,2019-09-09
"Community First Bank, Inc.",519C8807,2021-10-22
Compass Regional Hospice Inc.,007C3271,2019-03-04
"Compassionate Wellness Center, LLC.",941C3573,2018-05-25
Confidio,044C6132,2018-12-27
ConnectYourCare,731C5443,2018-11-02
Contemporary Watercrafters,943C5079,2020-09-08
"Continental Insurance Group, Ltd.",824C3472,2022-06-15
Control Tech USA Ltd.,372C6116,2023-08-14
"Convergenz, LLC",311C2183,2020-11-23
Conveyco Inc.,560C4680,2021-11-03
Conveyor Handling Company,524C4572,2018-07-05
"Core4ce, LLC",475C5675,2021-11-22
"Cottonwood Management, LLC",159C0727,2024-02-08
"Councilor Buchanon & Mitchell, P.C.",185C7305,2020-02-11
"Cox Manufacturing Company, Inc.",451C7603,2021-08-09
"CPS Professional Services, LLC dba CATHEXIS",357C6821,2021-03-23
"Crosby Marketing Communications, Inc.",009C4777,2019-01-16
CRS Temporary Housing,766C6798,2019-09-27
Crystal City Working Parents Inc.,320C3960,2020-12-18
"CTG, Inc",961C8633,2018-06-06
"Curio Holdings, LLC",790C4870,2019-05-14
"Custom Fabricating & Repair, Inc.",342C3526,2023-09-25
"CW Professional Services, LLC",108C4324,2019-07-11
D. F. Daniels Corporation,846D3038,2024-08-14
"Daicel America Holdings, Inc.",848D8544,2019-06-25
Daicel Safety Systems Americas,959D7127,2019-09-06
Dataprise Inc,950D5350,2018-05-11
DC Brau,709D8877,2019-02-07
DC Central Kitchen,801D4153,2024-06-19
"Deerfield Packaging Service, Inc",618D8354,2022-01-17
"Defense Contracting, Inc.",894D7182,2023-11-10
Defense Point Security LLC,945D6585,2018-10-05
Definitive Logic Corp.,254D4262,2020-09-29
Delinea Incorporation,959D0127,2022-10-13
"Delmar Corporate Cleaning Services, Inc. ",764D5292,2020-10-15
Delta Healthcare Management,251D7003,2021-01-22
"DeNyse Companies, Inc.",778D1834,2024-05-28
"Depository Trust Company of Delaware, LLC",929D4537,2018-02-01
Dialysis Clinic Inc,437D7061,2022-05-24
"Digital Management, LLC",104D1312,2019-07-09
Dover Federal Credit Union,746D1738,2020-03-10
"Dowbuilt, Inc",393D3929,2021-05-11
Dr. Paul Feild Jr. DDS PA,274D9322,2020-10-15
"DSU-Peterbilt & GMC, Inc.",035D4355,2019-02-13
Dutch Miller Auto Group,210D1130,2020-11-23
Dynamic Ratings Inc.,379D6387,2023-08-09
Dynamo Technologies LLC,626D7378,2024-05-03
"E.R. Snell Contractor, Inc.",744E6232,2024-04-30
Earth Networks,134E3902,2020-10-15
"East Coast Institute for Research, LLC",426E6778,2023-10-13
Eastbanc Inc.,075E4475,2021-05-05
"Eastern Athletic Clubs, LLC",091E6523,2019-05-14
"Eastern VetPath, LLC",410E4730,2023-09-18
"Eccalon, LLC",782E4846,2024-05-17
"Edgewater Recovery Center, LLC",609E9577,2023-11-10
Education Affiliates,974E3422,2021-02-18
EJF Capital LLC,470E3910,2020-04-27
Eleanor Health,6.23e+121,2024-07-01
Elevate Care,957E8621,2023-03-07
"Emagine It, Inc.",964E5892,2021-08-27
Emergent Space Technologies,880E2640,2017-10-28
"Employee Benefit Associates, Inc.",296E5888,2020-10-12
"Enerquip, LLC",343E9279,2023-08-04
"Engineering Consulting Services, LTD",298E7394,2020-12-17
"Engineering Solutions, Inc. ",277E6581,2020-09-17
Enhance Rehabilitation LLC,396E4188,2023-12-01
Enterprise Community Partners,189E7317,2018-11-06
"Espire Services, LLC",530E2090,2021-12-23
Expansion LLC,044E9132,2022-11-22
"Extended Care Consulting, LLC",393E6929,2024-06-19
"Eyewitness Acquisition, LLC",291E7123,2020-10-02
"Fanatics Lids College, Inc.",631F3143,2022-04-29
"Faulks Brothers Construction, Inc.",344F5032,2023-08-04
Fawn Industries,971F6163,2018-07-27
Ferguson Trenching Company Inc.,724F5172,2022-12-13
"FILA, USA",973F7669,2024-01-16
"Financial Reserve, Inc.",781F9093,2024-05-07
"Fire-X, Inc.",799F2647,2024-06-25
"Fluence Energy, LLC",990F5470,2024-05-28
Fluency Inc ,112F0336,2023-02-28
"Flywheel Digital, LLC",302F0406,2020-11-23
"Foard Brothers, Inc.",541F5373,2022-03-15
"Forster & Garbus, LLP",407F4471,2021-08-09
Fortegra Financial Corporation,800F8400,2024-07-29
"Fox Valley Tool & Die, Inc.",338F0514,2023-10-02
"Foxborough Nursery, Inc",761F8033,2020-01-21
Franconia- Springfield Surgery Center,191F1823,2020-02-11
"Franklin & Prokopik, P.C.",303F6159,2021-04-01
Franklin Mint Federal Credit Union ,099F2547,2019-07-11
Franklin Road Academy,742F4726,2024-08-01
"Freedom Management Company, Inc. dba S.P.A.R.C",752F2256,2024-07-15
Freeland Hoist & Crane,141F4173,2019-09-23
G&G Outfitters,875G3875,2018-05-02
Gateways Hospital and Mental Health Center,417G2001,2021-04-23
"GC Packaging, LLC",065G9945,2023-05-03
GCP Personnel LLC,064G4192,2022-12-28
Georgia Baptist Mission Board,661G5733,2022-03-23
"Georgia Bone & Joint Surgeons, P.C.",158G4974,2023-05-19
Gilbert Foods LLC t.a Hearn Kirkwood ,031G1343,2018-11-30
"Global Consulting, Inc.",383G6399,2021-03-15
Goetze's Candy Co. Inc.,101G4053,2019-08-13
Goldenstate Landscapes Inc.,559G8927,2021-12-20
"Grafton Transit, Inc.",415G3495,2023-09-13
Gramophone LTD,027G8331,2019-01-23
Green Leaf Management LLC,979G2187,2018-09-12
"GridPoint, Inc.",194G6082,2020-12-02
Groundbreaking Designs LLC,988G3964,2018-09-12
"Grovehouse Hospitality, LLC",814G5942,2022-05-06
"GSP Marketing Technologies, Inc.",822G4966,2024-07-18
"G-Squared Partners, LLC",159G7727,2020-02-07
"GuidePoint Security, LLC",827G3731,2024-07-16
"Gvozden Pediatric, PA",650G9450,2019-07-02
H2 Hospitalist Group,015H9295,2018-10-30
"Hanson Professional Services, Inc.",417H5001,2023-10-18
Har-Co Credit Union,888H8664,2020-05-20
Harebrained Holdings Inc,446H8838,2022-03-01
Harmony Home Health Services LLC,629H1637,2022-01-17
Harris Bus & Terminal Service Inc.,374H4622,2021-03-01
"Harris Jones & Malone, LLC",124H6372,2019-09-25
"Health Advocates Network, Inc.",679H2287,2024-02-19
"Health Advocates Network, Inc. (Internal)",409H8977,2024-01-24
"HeiTech Services, Inc",952H6856,2018-05-03
Helping Up Mission,983H5199,2018-08-14
Hepton Livestock LLC,706H7618,2024-04-08
"High 5 Hospitality, LLC",828H3484,2021-04-12
Highlight Technologies Inc.,382H0646,2021-03-18
Hilltop Electric Company,258H4274,2020-10-05
Hirsch Electric LLC,305H4665,2018-04-17
"Hoefer Welker, LLC",627H3131,2023-12-12
Holt's Cigar Holdings Inc,082H4746,2019-05-01
Holy Cross Anesthesiology Associates PA,363H1339,2021-03-10
Homespire Mortgage Corporation,147H8691,2019-10-24
Hood Container (Greensboro Union),194H2082,2023-08-14
Hood Container (Hourly and St. Francisville),191H4823,2023-08-14
Hood Container (New Johnsonville Union),192H0576,2023-08-14
Hood Container (Salary),193H6329,2023-08-21
Hood Container (Sumter Packaging Corporation),737H5961,2024-03-25
Hood Flexible Packaging (Salary),190H9070,2023-05-31
Hood Flexible Packaging (Union),189H3317,2023-05-31
Hood Industries (Board of Directors),195H7835,2023-04-21
Hood Industries (Non-Board of Directors),196H3588,2023-05-04
Hood Packaging (All Salaried at Grand Forks),176H8528,2023-05-04
Hood Packaging (All Salaried at St Paul),175H2775,2023-05-31
"Hood Packaging (All Salaried Except Grand Forks, St Paul & Officers)",174H7022,2023-05-31
Hood Packaging (All Salaried Officers),165H5245,2023-05-31
Hood Packaging (Anniston Production),177H4281,2023-03-28
Hood Packaging (Crossett Production),166H0998,2023-06-13
Hood Packaging (Grand Forks Production),167H6751,2023-06-01
Hood Packaging (Hamlet Production),168H2504,2023-05-31
Hood Packaging (Hanford Production),178H0034,2023-03-28
Hood Packaging (Minneapolis Production),181H7293,2023-06-13
Hood Packaging (Monticello & Summerville Production),179H5787,2023-03-28
Hood Packaging (Salaried St Paul Special Class),172H5516,2023-06-07
Hood Packaging (St Paul Choice Production),169H8257,2023-06-28
Hood Packaging (Vancouver Production),170H4010,2023-05-31
Hood Packaging (Wilmington Production),171H9763,2023-05-31
Horich Hector Lebow Advertising Inc,912H6736,2020-04-24
Human Resources Research Organization,474H9922,2022-02-04
"Humphrey Rich Construction Group, Inc.",288H9864,2020-10-12
"Hypori, Inc.",006H0518,2022-10-12
ICT Industries Inc.,642I9426,2023-12-29
Imagine Pediatrics Holdings LLC,708I9124,2024-04-26
Imagine Pediatrics Provider Holdings PLLC,707I3371,2024-05-03
In Bloom Florist,325I5725,2023-07-13
Independent School Management,383I9399,2024-01-11
"IndraSoft, Inc",840I2520,2019-01-11
Infinitive,965I4645,2022-10-26
Inky Technology Corporation,026I2578,2019-02-27
"Innovative Defense Technologies, LLC",093I1029,2023-09-12
"Innovative Systems Group of Florida, Inc.",608I3824,2023-11-01
InOutsource LLC,962I7386,2022-08-30
"Insightec, Inc.",606I2318,2024-02-01
Institute For Advanced Clinical Trials For Children,889I4417,2021-02-01
Integrated Design Solutions LLC,054I6662,2023-01-16
Intelligent Automation,004I6012,2019-02-11
"Intelligent Waves, LLC",057I0921,2019-03-18
